Gene,UniProt,Sample type,Tissue,Species,Repository,Reference,Confidence Score,Description,Coverage Map File,Total Ion Intensity
Col3a1,P08121,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10689.2,Collagen alpha-1(III) chain,Bronchoalveolar lavage of fibrotic lung_P08121.html,212667008
Col3a1,P08121,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10689.2,Collagen alpha-1(III) chain,Bronchoalveolar lavage of normal lung_P08121.html,5496240
Col3a1,P08121,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,10689.2,Collagen alpha-1(III) chain,Normal lung_P08121.html,796516990
Col3a1,P08121,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,10689.2,Collagen alpha-1(III) chain,Normal lung_P08121.html,796516990
Col3a1,P08121,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,10689.2,Collagen alpha-1(III) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P08121.html,10160600100
Col3a1,P08121,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10689.2,Collagen alpha-1(III) chain,Normal lung ECM (Quantitative detergent solubility profiling)_P08121.html,4371879900
Lama3,Q61789,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10270.7,Laminin subunit alpha-3,Bronchoalveolar lavage of fibrotic lung_Q61789.html,183570000
Lama3,Q61789,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,10270.7,Laminin subunit alpha-3,Normal lung_Q61789.html,3361769980
Lama3,Q61789,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,10270.7,Laminin subunit alpha-3,Normal lung_Q61789.html,3361769980
Lama3,Q61789,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,10270.7,Laminin subunit alpha-3,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61789.html,380748992
Lama3,Q61789,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10270.7,Laminin subunit alpha-3,Normal lung ECM (Quantitative detergent solubility profiling)_Q61789.html,7837749800
Lamb2,Q61292,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,10228.1,Laminin subunit beta-2,Normal lung_Q61292.html,5165879800
Lamb2,Q61292,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,10228.1,Laminin subunit beta-2,Normal lung_Q61292.html,5165879800
Lamb2,Q61292,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,10228.1,Laminin subunit beta-2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61292.html,1139200000
Lamb2,Q61292,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10228.1,Laminin subunit beta-2,Normal lung ECM (Quantitative detergent solubility profiling)_Q61292.html,9027909600
Col6a1,Q04857,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,8611.68,Collagen alpha-1(VI) chain,Bronchoalveolar lavage of fibrotic lung_Q04857.html,552358980
Col6a1,Q04857,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,8611.68,Collagen alpha-1(VI) chain,Bronchoalveolar lavage of normal lung_Q04857.html,17680200
Col6a1,Q04857,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,8611.68,Collagen alpha-1(VI) chain,Normal lung_Q04857.html,2494409980
Col6a1,Q04857,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,8611.68,Collagen alpha-1(VI) chain,Normal lung_Q04857.html,2494409980
Col6a1,Q04857,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,8611.68,Collagen alpha-1(VI) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q04857.html,517806016
Col6a1,Q04857,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,8611.68,Collagen alpha-1(VI) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q04857.html,3762170110
Tgm2,P21981,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Bronchoalveolar lavage of fibrotic lung_P21981.html,2686210050
Tgm2,P21981,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Bronchoalveolar lavage of normal lung_P21981.html,151683008
Tgm2,P21981,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Normal lung_P21981.html,1479160060
Tgm2,P21981,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Normal lung_P21981.html,1479160060
Tgm2,P21981,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P21981.html,673438020
Tgm2,P21981,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,7701.66,Protein-glutamine gamma-glutamyltransferase 2,Normal lung ECM (Quantitative detergent solubility profiling)_P21981.html,5054850000
Col4a2,P08122,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,6902.73,Collagen alpha-2(IV) chain,Bronchoalveolar lavage of fibrotic lung_P08122.html,105620000
Col4a2,P08122,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,6902.73,Collagen alpha-2(IV) chain,Bronchoalveolar lavage of normal lung_P08122.html,2782680
Col4a2,P08122,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,6902.73,Collagen alpha-2(IV) chain,Normal lung_P08122.html,3080910080
Col4a2,P08122,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,6902.73,Collagen alpha-2(IV) chain,Normal lung_P08122.html,3080910080
Col4a2,P08122,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,6902.73,Collagen alpha-2(IV) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P08122.html,3296310020
Col4a2,P08122,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,6902.73,Collagen alpha-2(IV) chain,Normal lung ECM (Quantitative detergent solubility profiling)_P08122.html,4581450200
Fgb,Q8K0E8,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,6746.98,Fibrinogen beta chain,Bronchoalveolar lavage of fibrotic lung_Q8K0E8.html,7780810200
Fgb,Q8K0E8,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,6746.98,Fibrinogen beta chain,Bronchoalveolar lavage of normal lung_Q8K0E8.html,195474000
Fgb,Q8K0E8,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,6746.98,Fibrinogen beta chain,Normal lung_Q8K0E8.html,1271270020
Fgb,Q8K0E8,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,6746.98,Fibrinogen beta chain,Normal lung_Q8K0E8.html,1271270020
Fgb,Q8K0E8,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,6746.98,Fibrinogen beta chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8K0E8.html,2236470020
Fgb,Q8K0E8,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,6746.98,Fibrinogen beta chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q8K0E8.html,1213830020
Fbn1,Q61554,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,6446.71,Fibrillin-1,Normal lung_Q61554.html,1849680000
Fbn1,Q61554,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,6446.71,Fibrillin-1,Normal lung_Q61554.html,1849680000
Fbn1,Q61554,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,6446.71,Fibrillin-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61554.html,1100739970
Fbn1,Q61554,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,6446.71,Fibrillin-1,Normal lung ECM (Quantitative detergent solubility profiling)_Q61554.html,1119350020
Nid1,P10493,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,6102.43,Nidogen-1,Normal lung_P10493.html,2049309950
Nid1,P10493,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,6102.43,Nidogen-1,Normal lung_P10493.html,2049309950
Nid1,P10493,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,6102.43,Nidogen-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P10493.html,274031008
Nid1,P10493,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,6102.43,Nidogen-1,Normal lung ECM (Quantitative detergent solubility profiling)_P10493.html,5216770000
Serpina1d,Q00897,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Bronchoalveolar lavage of fibrotic lung_Q00897.html,318255989000
Serpina1d,Q00897,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Bronchoalveolar lavage of normal lung_Q00897.html,10975299600
Serpina1d,Q00897,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Normal lung ECM (Quantitative detergent solubility profiling)_Q00897.html,535273984
Postn,Q62009-3,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Bronchoalveolar lavage of fibrotic lung_Q62009-3.html,1438200060
Postn,Q62009-3,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Bronchoalveolar lavage of normal lung_Q62009-3.html,1520300
Postn,Q62009-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5812.55,Isoform 3 of Periostin,Normal lung_Q62009-3.html,632091010
Postn,Q62009-3,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5812.55,Isoform 3 of Periostin,Normal lung_Q62009-3.html,632091010
Postn,Q62009-3,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5812.55,Isoform 3 of Periostin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q62009-3.html,680523010
Postn,Q62009-3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Normal lung ECM (Quantitative detergent solubility profiling)_Q62009-3.html,1822809980
Serpinc1,P32261,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Bronchoalveolar lavage of fibrotic lung_P32261.html,35302801000
Serpinc1,P32261,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Bronchoalveolar lavage of normal lung_P32261.html,1483890050
Serpinc1,P32261,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5612.09,Antithrombin-III,Normal lung_P32261.html,559933
Serpinc1,P32261,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Normal lung ECM (Quantitative detergent solubility profiling)_P32261.html,305819008
Emilin1,Q99K41,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5540.26,EMILIN-1,Bronchoalveolar lavage of fibrotic lung_Q99K41.html,735918
Emilin1,Q99K41,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5540.26,EMILIN-1,Normal lung_Q99K41.html,1399920000
Emilin1,Q99K41,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5540.26,EMILIN-1,Normal lung_Q99K41.html,1399920000
Emilin1,Q99K41,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5540.26,EMILIN-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q99K41.html,338017984
Emilin1,Q99K41,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5540.26,EMILIN-1,Normal lung ECM (Quantitative detergent solubility profiling)_Q99K41.html,1082630020
Col6a2,Q02788,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5403.48,Collagen alpha-2(VI) chain,Bronchoalveolar lavage of fibrotic lung_Q02788.html,109022000
Col6a2,Q02788,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5403.48,Collagen alpha-2(VI) chain,Normal lung_Q02788.html,2147250050
Col6a2,Q02788,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5403.48,Collagen alpha-2(VI) chain,Normal lung_Q02788.html,2147250050
Col6a2,Q02788,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5403.48,Collagen alpha-2(VI) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q02788.html,510160000
Col6a2,Q02788,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5403.48,Collagen alpha-2(VI) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q02788.html,2278390020
Fgg,Q8VCM7,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Bronchoalveolar lavage of fibrotic lung_Q8VCM7.html,20321499100
Fgg,Q8VCM7,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Bronchoalveolar lavage of normal lung_Q8VCM7.html,619761020
Fgg,Q8VCM7,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5281.84,Fibrinogen gamma chain,Normal lung_Q8VCM7.html,1397650050
Fgg,Q8VCM7,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5281.84,Fibrinogen gamma chain,Normal lung_Q8VCM7.html,1397650050
Fgg,Q8VCM7,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5281.84,Fibrinogen gamma chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8VCM7.html,3229969920
Fgg,Q8VCM7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q8VCM7.html,1813730050
Anxa2,P07356,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5143.0,Annexin A2,Bronchoalveolar lavage of fibrotic lung_P07356.html,4905710100
Anxa2,P07356,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5143.0,Annexin A2,Bronchoalveolar lavage of normal lung_P07356.html,387145984
Anxa2,P07356,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5143.0,Annexin A2,Normal lung_P07356.html,633688000
Anxa2,P07356,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5143.0,Annexin A2,Normal lung_P07356.html,633688000
Anxa2,P07356,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5143.0,Annexin A2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P07356.html,282508992
Anxa2,P07356,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5143.0,Annexin A2,Normal lung ECM (Quantitative detergent solubility profiling)_P07356.html,10151300100
Lamb3,Q61087,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5085.7,Laminin subunit beta-3,Bronchoalveolar lavage of fibrotic lung_Q61087.html,24124200
Lamb3,Q61087,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5085.7,Laminin subunit beta-3,Normal lung_Q61087.html,1105939970
Lamb3,Q61087,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5085.7,Laminin subunit beta-3,Normal lung_Q61087.html,1105939970
Lamb3,Q61087,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5085.7,Laminin subunit beta-3,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61087.html,335868992
Lamb3,Q61087,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5085.7,Laminin subunit beta-3,Normal lung ECM (Quantitative detergent solubility profiling)_Q61087.html,3272440060
Eln,P54320,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5040.25,Elastin,Bronchoalveolar lavage of fibrotic lung_P54320.html,162624000
Eln,P54320,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5040.25,Elastin,Normal lung_P54320.html,144075008
Eln,P54320,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5040.25,Elastin,Normal lung_P54320.html,144075008
Eln,P54320,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5040.25,Elastin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P54320.html,1892950020
Eln,P54320,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5040.25,Elastin,Normal lung ECM (Quantitative detergent solubility profiling)_P54320.html,158538000
Pzp,Q61838,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4611.52,Pregnancy zone protein,Bronchoalveolar lavage of fibrotic lung_Q61838.html,57909801000
Pzp,Q61838,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4611.52,Pregnancy zone protein,Bronchoalveolar lavage of normal lung_Q61838.html,1171280000
Pzp,Q61838,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,4611.52,Pregnancy zone protein,Normal lung_Q61838.html,200534000
Pzp,Q61838,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4611.52,Pregnancy zone protein,Normal lung_Q61838.html,200534000
Pzp,Q61838,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,4611.52,Pregnancy zone protein,Normal lung ECM (Quantitative detergent solubility profiling)_Q61838.html,105656000
Fga,E9PV24,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4358.62,Fibrinogen alpha chain,Bronchoalveolar lavage of fibrotic lung_E9PV24.html,8112289800
Fga,E9PV24,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4358.62,Fibrinogen alpha chain,Bronchoalveolar lavage of normal lung_E9PV24.html,190924000
Fga,E9PV24,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,4358.62,Fibrinogen alpha chain,Normal lung_E9PV24.html,290679008
Fga,E9PV24,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4358.62,Fibrinogen alpha chain,Normal lung_E9PV24.html,290679008
Fga,E9PV24,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,4358.62,Fibrinogen alpha chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_E9PV24.html,2811000060
Fga,E9PV24,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,4358.62,Fibrinogen alpha chain,Normal lung ECM (Quantitative detergent solubility profiling)_E9PV24.html,1368060030
Serpina1b,P22599,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4304.92,Alpha-1-antitrypsin 1-2,Bronchoalveolar lavage of fibrotic lung_P22599.html,288031015000
Serpina1b,P22599,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,4304.92,Alpha-1-antitrypsin 1-2,Bronchoalveolar lavage of normal lung_P22599.html,9808209900
Serpina1b,P22599,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,4304.92,Alpha-1-antitrypsin 1-2,Normal lung_P22599.html,13747000
Serpina1b,P22599,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4304.92,Alpha-1-antitrypsin 1-2,Normal lung_P22599.html,13747000
Serpina1b,P22599,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,4304.92,Alpha-1-antitrypsin 1-2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P22599.html,564010
Serpina1b,P22599,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,4304.92,Alpha-1-antitrypsin 1-2,Normal lung ECM (Quantitative detergent solubility profiling)_P22599.html,505692000
Lamb1,P02469,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,3972.31,Laminin subunit beta-1,Bronchoalveolar lavage of fibrotic lung_P02469.html,19517600
Lamb1,P02469,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,3972.31,Laminin subunit beta-1,Normal lung_P02469.html,1015630020
Lamb1,P02469,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,3972.31,Laminin subunit beta-1,Normal lung_P02469.html,1015630020
Lamb1,P02469,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,3972.31,Laminin subunit beta-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P02469.html,445107008
Lamb1,P02469,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,3972.31,Laminin subunit beta-1,Normal lung ECM (Quantitative detergent solubility profiling)_P02469.html,5672810000
